P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Elapsed_time_miliseconds,Total_Score
133,80,2,0,0,100,165,120,0,0,0,100,9345,200
133,78,2,0,0,100,165,118,3,0,0,100,9379,200
133,76,2,0,0,100,165,116,3,0,0,100,9414,200
133,74,2,0,0,100,165,114,3,0,0,100,9448,200
133,72,2,0,0,100,165,112,3,0,0,100,9483,200
135,72,2,0,0,100,167,112,1,0,0,100,9517,200
135,70,2,0,0,100,167,110,3,0,0,100,9552,200
135,68,2,0,0,100,167,108,3,0,0,100,9586,200
135,66,2,0,0,100,167,106,3,0,0,100,9621,200
135,64,2,0,0,100,167,104,3,0,0,100,9655,200
135,62,2,0,0,100,167,102,3,0,0,100,9690,200
135,60,2,0,0,100,167,100,3,0,0,100,9724,200
135,62,2,0,0,100,167,102,2,0,0,100,9759,200
135,60,2,0,0,100,167,100,3,0,0,100,9793,200
135,58,2,0,0,100,167,98,3,0,0,100,9828,200
135,56,2,0,0,100,167,96,3,0,0,100,9862,200
135,54,2,0,0,100,167,94,3,0,0,100,9897,200
135,52,2,0,0,100,167,92,3,0,0,100,9931,200
135,50,2,0,0,100,167,90,3,0,0,100,9966,200
135,48,2,0,0,100,167,88,3,0,0,100,10000,200
135,46,2,0,0,100,167,86,3,0,0,100,10042,200
135,44,2,0,0,100,167,84,3,0,0,100,10083,200
135,42,2,0,0,100,167,82,3,0,0,100,10125,200
135,40,2,0,0,100,167,80,3,0,0,100,10167,200
135,38,2,0,0,100,167,78,3,0,0,100,10208,200
135,36,2,0,0,100,167,76,3,0,0,100,10250,200
135,34,2,0,0,100,167,74,3,0,0,100,10291,200
135,32,2,0,0,100,167,72,3,0,0,100,10333,200
135,30,2,0,0,100,167,70,3,0,0,100,10375,200
135,28,2,0,0,100,167,68,3,0,0,100,10416,200
135,26,2,0,0,100,167,66,3,0,0,100,10458,200
135,24,2,0,0,100,167,64,3,0,0,100,10500,200
135,22,2,0,0,100,167,62,3,0,0,100,10541,200
133,22,0,0,0,100,167,60,3,0,0,100,10583,200
131,22,0,0,0,100,167,58,3,0,0,100,10624,200
129,22,0,0,0,100,167,56,3,0,0,100,10666,200
127,22,0,0,0,100,167,54,3,0,0,100,10708,200
127,20,0,0,0,100,167,52,3,0,0,100,10749,200
125,20,0,0,0,100,165,52,0,0,0,100,10791,200
125,18,0,0,0,100,165,50,3,0,0,100,10833,200
123,18,0,0,0,100,163,50,0,0,0,100,10874,200
121,18,0,0,0,100,161,50,0,0,0,100,10916,200
119,18,0,0,0,100,159,50,0,0,0,100,10957,200
117,18,0,0,0,100,157,50,0,0,0,100,10999,200
115,18,0,0,1,100,155,50,0,0,1,10100,17999,10200
