P1_to_P2_distance,P1_to_obs_1_distance,P1_to_obs_2_distance,P1_to_obs_3_distance,P1_to_obs_4_distance,P1_to_obs_5_distance,P2_to_obs_1_distance,P2_to_obs_2_distance,P2_to_obs_3_distance,P2_to_obs_4_distance,P2_to_obs_5_distance,P1_to_goal_distance,P2_to_goal_distance,P1_action,P2_action,reward,timestamp_milliseconds
50.24937810560445,22.0,31.400636936215164,49.09175083453431,59.21148537234985,95.0,20.0,27.0,62.26556030423239,75.66372975210778,77.07788269017254,262.0686932847951,284.01584462842914,1,1,50,45852
50.24937810560445,22.0,32.01562118716424,49.040799340956916,59.135437767890075,94.0,20.0,27.0,63.13477647065839,74.96665925596525,76.36753236814714,261.6199533674754,283.425475213503,1,1,50,45889
50.24937810560445,22.0,32.64965543462902,49.01020301937138,59.07622195096772,93.0,20.0,27.0,64.00781202322104,74.27651041883968,75.66372975210778,261.1742713208941,282.83740912404073,1,1,50,45926
50.24937810560445,22.0,33.301651610693426,49.0,59.033888572581766,92.0,20.0,27.0,64.88451279003334,73.59347797189639,74.96665925596525,260.731662825979,282.25166075685013,1,1,50,45963
50.24937810560445,22.0,33.97057550292606,49.0,59.00847396772772,91.0,20.0,27.0,65.76473218982953,72.91776189653656,74.27651041883968,260.2921435618063,281.66824457151716,1,1,50,46000
50.24937810560445,22.0,34.655446902326915,49.0,59.0,90.0,20.0,27.0,66.64833081180653,72.24956747275377,73.59347797189639,259.8557292037257,281.0871750898643,1,1,50,46037
50.24937810560445,22.0,35.35533905932738,49.0,59.0,89.0,20.0,27.0,67.53517601961218,71.58910531638176,72.91776189653656,259.42243542145695,280.5084668953862,1,1,50,46074
50.24937810560445,22.0,36.069377593742864,49.0,59.0,88.0,20.0,27.0,68.42514157822401,70.9365914038728,72.24956747275377,258.9922778771599,279.93213463266414,1,1,50,46111
50.24937810560445,22.0,36.796738985948195,49.0,59.0,87.0,20.0,27.0,69.31810730249349,70.2922470831599,71.58910531638176,258.5652722234755,279.3581930067561,1,1,50,46148
50.24937810560445,22.0,37.53664875824692,49.0,59.0,86.0,20.0,27.0,69.65629906907199,70.21395872616783,70.9365914038728,258.14143410154054,278.78665678256556,1,1,50,46185
50.24937810560445,22.0,38.28837943815329,49.0,59.0,85.0,20.0,27.0,69.02897942168927,70.2922470831599,71.11258679024411,257.72077913897436,278.21754078418564,1,1,50,46222
50.24937810560445,22.0,39.05124837953327,49.0,59.0,84.0,20.0,27.0,68.41052550594829,69.65629906907199,72.01388754955533,257.30332294783915,277.6508598942204,1,1,50,46259
50.24937810560445,22.0,39.824615503479755,49.0,59.0,83.0,20.0,27.0,67.80117993073571,69.02897942168927,72.91776189653656,256.8890811225732,277.08662905308154,1,1,50,46296
50.24937810560445,22.0,40.607881008493905,49.0,59.0,82.0,20.0,27.0,67.20119046564577,68.41052550594829,73.824115301167,256.478069237898,276.5248632582611,1,1,50,46333
50.24937810560445,22.0,41.400483088968905,49.0,59.0,81.0,20.0,27.0,66.61080993352356,67.80117993073571,74.73285756613352,256.0703028466987,275.9655775635795,1,1,50,46370
50.24937810560445,22.0,42.20189569201838,49.0,59.0,80.0,20.0,27.0,66.03029607687671,67.20119046564577,75.64390259630977,255.66579747787932,275.40878707840824,1,1,50,46407
50.24937810560445,22.0,43.01162633521314,49.0,59.0,79.0,20.0,27.0,65.45991139621256,66.61080993352356,76.55716818169282,255.26456863419176,274.85450696686786,1,1,50,46444
50.24937810560445,22.0,43.829214001622255,49.0,59.0,78.0,20.0,27.0,64.89992295835181,66.03029607687671,77.47257579298626,254.86663179004034,274.3027524469997,1,1,50,46481
