P1_to_P2_distance,P1_to_obs_1_distance,P1_to_obs_2_distance,P1_to_obs_3_distance,P1_to_obs_4_distance,P1_to_obs_5_distance,P2_to_obs_1_distance,P2_to_obs_2_distance,P2_to_obs_3_distance,P2_to_obs_4_distance,P2_to_obs_5_distance,P1_to_goal_distance,P2_to_goal_distance,timestamp_milliseconds
35.0,130.26895255585654,144.9413674559475,160.55528642807124,191.3765920900464,206.03883129157958,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,27.586228448267445,24.20743687382041,9429
36.0,129.86531484580476,144.05901568454507,159.66527487215245,191.0863679072895,205.03902067655318,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,28.319604517012593,24.20743687382041,9464
37.0,129.46814279968643,143.17821063276352,158.7765725792064,190.80094339389416,204.0392119177096,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,29.068883707497267,24.20743687382041,9500
38.0,129.07749610214788,142.29898102235308,157.88920165736477,190.5203401214684,203.03940504246953,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,29.832867780352597,24.20743687382041,9536
39.0,128.69343417595164,141.4213562373095,157.00318468107582,190.24457942343588,202.03960007879644,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,30.610455730027933,24.20743687382041,9571
40.0,128.3160161476345,140.54536634126364,156.11854470241516,189.97368238785077,201.03979705520993,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,31.400636936215164,24.20743687382041,9607
41.0,127.94530081249565,139.6710420953463,155.23530526268823,189.70766985021982,200.0399960007998,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,32.202484376209235,24.20743687382041,9643
42.0,127.58134659894448,138.7984149765407,154.35349040433132,189.44656238633627,199.04019694524018,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,33.015148038438355,24.20743687382041,9679
43.0,127.22421153223941,137.92751719653333,153.47312468311839,189.19038030513073,198.04039991880444,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,33.83784863137726,24.20743687382041,9714
44.0,126.87395319765204,137.05838172107534,152.59423318068085,188.939143641544,197.0406049523803,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,34.66987164671943,24.20743687382041,9750
45.0,126.53062870309307,136.19104228986575,151.71684151734772,188.692872149427,196.04081207748553,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,35.510561809129406,24.20743687382041,9786
46.0,126.19429464123962,135.32553343696821,150.8409758653132,188.45158529447292,195.04102132628407,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,36.359317925395686,24.20743687382041,9821
47.0,125.86500705120545,134.46189051177288,149.96666296213968,188.2153022471871,194.0412327316027,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,37.21558813185679,24.20743687382041,9857
48.0,125.54282137979854,133.60014970051492,149.093930124603,187.98404187589966,193.04144632694815,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,38.07886552931954,24.20743687382041,9893
49.0,125.22779244241272,132.74034804836094,148.22280526288793,187.7578227398262,192.04166214652486,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,38.948684188300895,24.20743687382041,9929
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,9964
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10000
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10036
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10071
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10107
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10143
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10179
