P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp
378,57,3,0,0,100,378,79,4,0,0,100,14:52:08
378,59,3,0,0,100,376,79,0,0,0,100,14:52:08
378,61,3,0,0,100,376,79,4,0,0,100,14:52:08
378,63,3,0,0,100,376,79,4,0,0,100,14:52:08
378,65,3,0,0,100,376,79,4,0,0,100,14:52:08
378,67,3,0,0,100,376,79,4,0,0,100,14:52:08
378,69,3,0,0,100,376,79,4,0,0,100,14:52:08
378,71,3,0,0,100,376,79,4,0,0,100,14:52:08
378,73,3,0,0,100,376,79,4,0,0,100,14:52:08
376,73,0,0,0,100,376,79,4,0,0,100,14:52:08
374,73,0,0,0,100,376,79,4,0,0,100,14:52:08
372,73,0,0,0,100,376,81,2,0,0,100,14:52:08
370,73,0,0,0,100,376,81,4,0,0,100,14:52:08
368,73,0,0,0,100,376,81,4,0,0,100,14:52:08
366,73,0,0,0,100,376,79,3,0,0,100,14:52:08
364,73,0,0,0,100,376,79,4,0,0,100,14:52:08
362,73,0,0,0,100,376,79,4,0,0,100,14:52:08
360,73,0,0,0,100,376,79,4,0,0,100,14:52:08
358,73,0,0,0,100,376,79,4,0,0,100,14:52:08
356,73,0,0,0,100,376,79,4,0,0,100,14:52:08
354,73,0,0,0,100,376,79,4,0,0,100,14:52:08
352,73,0,0,0,100,376,79,4,0,0,100,14:52:08
350,73,0,0,0,100,376,79,4,0,0,100,14:52:09
348,73,0,0,0,100,376,79,4,0,0,100,14:52:09
346,73,0,0,0,100,376,79,4,0,0,100,14:52:09
344,73,0,0,0,100,376,79,4,0,0,100,14:52:09
342,73,0,0,0,100,376,79,4,0,0,100,14:52:09
340,73,0,0,0,100,376,79,4,0,0,100,14:52:09
338,73,0,0,0,100,376,79,4,0,0,100,14:52:09
336,73,0,0,0,100,376,79,4,0,0,100,14:52:09
334,73,0,0,0,100,376,79,4,0,0,100,14:52:09
332,73,0,0,0,100,374,79,0,0,0,100,14:52:09
330,73,0,0,0,100,374,79,4,0,0,100,14:52:09
328,73,0,0,0,100,374,77,3,0,0,100,14:52:09
326,73,0,0,0,100,374,77,4,0,0,100,14:52:09
324,73,0,0,0,100,374,77,4,0,0,100,14:52:09
324,75,0,0,0,100,374,79,2,0,0,100,14:52:09
322,75,0,0,0,100,372,79,0,0,0,100,14:52:09
320,75,0,0,0,100,370,79,0,0,0,100,14:52:09
318,75,0,0,0,100,368,79,0,0,0,100,14:52:09
316,75,0,0,0,100,366,79,0,0,0,100,14:52:09
314,75,0,0,0,100,364,79,0,0,0,100,14:52:09
314,75,0,0,0,100,364,79,4,0,0,100,14:52:09
